cycle;step;type;info
1;1;ocvrlx_down;
1;2;ir;
1;3;discharge;
1;4;ir;
1;5;ocvrlx_up;
1;6;charge;
1;7;ir;
1;8;ocvrlx_down;
2;3;discharge;
2;4;ir;
2;5;ocvrlx_up;
2;6;charge;
2;7;ir;
2;8;ocvrlx_down;
3;3;discharge;
3;4;ir;
3;5;ocvrlx_up;
3;6;charge;
3;7;ir;
3;8;ocvrlx_down;
4;10;discharge;
4;11;ir;
4;12;ocvrlx_up;
4;13;charge;
4;14;ir;
4;15;ocvrlx_down;
5;10;discharge;
5;11;ir;
5;12;ocvrlx_up;
5;13;charge;
5;14;ir;
5;15;ocvrlx_down;
6;10;discharge;
6;11;ir;
6;12;ocvrlx_up;
6;13;charge;
6;14;ir;
6;15;ocvrlx_down;
7;10;discharge;
7;11;ir;
7;12;ocvrlx_up;
7;13;charge;
7;14;ir;
7;15;ocvrlx_down;
8;10;discharge;
8;11;ir;
8;12;ocvrlx_up;
8;13;charge;
8;14;ir;
8;15;ocvrlx_down;
9;10;discharge;
9;11;ir;
9;12;ocvrlx_up;
9;13;charge;
9;14;ir;
9;15;ocvrlx_down;
10;10;discharge;
10;11;ir;
10;12;ocvrlx_up;
10;13;charge;
10;14;ir;
10;15;ocvrlx_down;
11;10;discharge;
11;11;ir;
11;12;ocvrlx_up;
11;13;charge;
11;14;ir;
11;15;ocvrlx_down;
12;10;discharge;
12;11;ir;
12;12;ocvrlx_up;
12;13;charge;
12;15;ocvrlx_down;
13;10;discharge;
13;11;ir;
13;12;ocvrlx_up;
13;13;charge;
13;14;ir;
13;15;ocvrlx_down;
14;10;discharge;
14;11;ir;
14;12;ocvrlx_up;
14;13;charge;
14;14;ir;
14;15;ocvrlx_down;
15;10;discharge;
15;11;ir;
15;12;ocvrlx_up;
15;13;charge;
15;14;ir;
15;15;ocvrlx_down;
16;10;discharge;
16;11;ir;
16;12;ocvrlx_up;
16;13;charge;
16;14;ir;
16;15;ocvrlx_down;
17;10;discharge;
17;12;ocvrlx_up;
17;13;charge;
17;14;ir;
17;15;ocvrlx_down;
18;10;discharge;